team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
EC Vitória,Vitória,2024,Brazil,25,13,12,0,6,4,2,4,2,2,15,7,8,0.88,1.08,0.67,19,18,18,19,26,39,-13,65,34,31,15,11,19,20,-4,-9,87,78,98,58,62,54,4,1,3,14,7,7,8,5,3,9,6,3,111,56,55,78,36,42,43,44,43,254,137,117,127,69,58,127,68,59,286,144,142,11,8,3,15,6,9,-4,2,-6,5,5,0,12,4,8,8,4,4,1.08,1.46,0.67,2.6,2.62,2.58,1.04,1.15,0.92,1.56,1.46,1.67,1.04,1.08,1,0.44,0.62,0.25,0.6,0.46,0.75,24,18,13,7,2,1,13,8,7,4,1,1,11,10,6,3,1,0,1,7,12,18,23,24,0,5,6,9,12,12,1,2,6,9,11,12,96,72,52,28,8,4,100,62,54,31,8,8,92,83,50,25,8,0,4,28,48,72,92,96,0,38,46,69,92,92,8,17,50,75,92,100,15,8,3,9,3,2,6,5,1,60,32,12,69,23,15,50,42,8,24,31,17,9,16,8,25,56,54,58,32,38,25,36,46,25,13,7,6,52,54,50,17,8,9,68,62,75,5,2,3,20,15,25,20,38,0,48,31,67,32,31,33,4.44,4.31,4.58,3.12,2.77,3.50,92,76,68,48,44,28,24,12,1.26,1.30,1.22,1.47,1.53,1.40,60,2,2,2,3,3,3,2,3,6,1,3,3,3,7,4,5,5,8,16,15,17,60,54,67,8
CR Flamengo,Flamengo,2024,Brazil,24,12,12,1,13,8,5,5,2,3,6,2,4,1.83,2.17,1.5,4,7,3,4,39,28,11,67,31,36,19,20,12,16,7,4,55,57,54,77,90,68,4,2,2,18,9,9,3,1,2,13,8,5,143,81,62,49,18,31,53,54,53,277,149,128,155,81,74,122,68,54,274,137,137,18,8,10,10,5,5,8,3,5,9,5,4,12,5,7,3,2,1,1.63,1.67,1.58,2.79,2.58,3,1.63,1.58,1.67,1.17,1,1.33,1.17,1.08,1.25,0.75,0.67,0.83,0.42,0.42,0.42,23,21,14,3,3,2,12,12,7,0,0,0,11,9,7,3,3,2,1,3,10,21,21,22,0,0,5,12,12,12,1,3,5,9,9,10,96,88,58,13,13,8,100,100,58,0,0,0,92,75,58,25,25,17,4,12,42,87,87,92,0,0,42,100,100,100,8,25,42,75,75,83,18,8,1,10,3,0,8,5,1,75,33,4,83,25,0,67,42,8,54,67,42,6,17,17,17,75,75,75,13,8,17,54,67,42,14,7,7,58,58,58,9,4,5,38,33,42,7,3,4,29,25,33,38,42,33,50,42,58,13,17,8,5.96,6.75,5.17,2.04,1.5,2.58,96,79,63,54,46,25,21,17,1.55,1.66,1.45,1.21,1.19,1.24,63,0,7,4,4,3,5,6,3,7,3,1,3,3,0,5,3,2,8,21,17,25,25,17,33,13
Cruzeiro EC,Cruzeiro,2024,Brazil,25,12,13,0,12,9,3,5,2,3,8,1,7,1.64,2.42,0.92,5,2,10,5,34,26,8,60,31,29,23,11,8,18,15,-7,66,47,106,87,134,65,10,6,4,10,6,4,8,2,6,12,8,4,134,77,57,70,31,39,52,52,53,275,140,135,146,74,72,129,66,63,314,160,154,17,11,6,14,4,10,3,7,-4,9,7,2,10,4,6,6,1,5,1.48,2.08,0.92,2.4,2.58,2.23,1.36,1.92,0.85,1.04,0.67,1.38,1.24,1.25,1.23,0.68,0.92,0.46,0.56,0.33,0.77,22,19,12,5,2,0,10,10,7,3,1,0,12,9,5,2,1,0,3,6,13,20,23,25,2,2,5,9,11,12,1,4,8,11,12,13,88,76,48,20,8,0,83,83,58,25,8,0,92,69,38,15,8,0,12,24,52,80,92,100,17,17,42,75,92,100,8,31,62,85,92,100,18,10,3,9,4,2,9,6,1,72,40,12,75,33,17,69,46,8,48,75,23,39,40,50,31,40,50,31,32,17,46,48,67,31,15,9,6,60,75,46,12,3,9,48,25,69,5,3,2,20,25,15,36,58,15,40,33,46,24,8,38,5.36,6.42,4.38,2.8,2.58,3.00,84,80,72,60,44,28,24,20,1.43,1.54,1.33,1.33,1.17,1.48,48,3,7,1,2,6,2,2,3,8,3,2,3,3,5,1,3,1,5,20,17,23,32,8,54,16
Botafogo FR,Botafogo,2024,Brazil,25,12,13,0,15,9,6,5,1,4,5,2,3,2,2.33,1.69,1,5,1,1,43,24,19,67,31,36,22,21,9,15,13,6,52,49,56,94,120,78,10,6,4,14,5,9,2,1,1,16,8,8,145,76,69,85,32,53,52,54,50,292,163,129,161,84,77,131,79,52,408,189,219,14,7,7,14,5,9,0,2,-2,5,4,1,16,6,10,4,2,2,1.24,1.5,1,2.68,2.58,2.77,1.72,1.83,1.62,0.96,0.75,1.15,1.12,1,1.23,0.56,0.58,0.54,0.56,0.42,0.69,24,18,13,6,5,1,12,8,6,2,2,1,12,10,7,4,3,0,1,7,12,19,20,24,0,4,6,10,10,11,1,3,6,9,10,13,96,72,52,24,20,4,100,67,50,17,17,8,92,77,54,31,23,0,4,28,48,76,80,96,0,33,50,83,83,92,8,23,46,69,77,100,16,11,1,8,4,0,8,7,1,64,44,4,67,33,0,62,54,8,60,75,46,14,40,50,31,56,42,69,8,8,8,64,67,62,13,8,5,52,67,38,13,6,7,52,50,54,8,2,6,32,17,46,20,33,8,64,50,77,16,17,15,5.80,6.33,5.31,3.4,2.67,4.08,84,76,72,52,48,24,20,20,1.50,1.71,1.30,1.30,1.13,1.46,52,6,2,3,2,1,8,6,5,10,5,2,2,1,5,2,1,1,5,20,8,31,20,17,23,16
Grêmio FB Porto Alegrense,Grêmio,2024,Brazil,23,12,11,1,8,5,3,3,1,2,12,6,6,1.17,1.33,1,15,16,12,15,23,28,-5,51,26,25,12,11,14,14,-2,-3,90,90,90,74,77,71,7,5,2,8,3,5,8,4,4,11,7,4,121,63,58,64,32,32,46,47,45,224,119,105,126,66,60,98,53,45,248,133,115,10,6,4,14,5,9,-4,1,-5,6,4,2,8,5,3,9,3,6,1.13,1.42,0.82,2.22,2.17,2.27,1,1,1,1.22,1.17,1.27,1.04,0.92,1.18,0.43,0.5,0.36,0.61,0.42,0.82,23,15,8,4,1,0,12,8,3,2,1,0,11,7,5,2,0,0,0,8,15,19,22,23,0,4,9,10,11,12,0,4,6,9,11,11,100,65,35,17,4,0,100,67,25,17,8,0,100,64,45,18,0,0,0,35,65,83,96,100,0,33,75,83,92,100,0,36,55,82,100,100,17,7,0,8,3,0,9,4,0,74,30,0,67,25,0,82,36,0,35,42,27,2,30,42,18,35,25,45,35,33,36,48,58,36,12,8,4,52,67,36,15,7,8,65,58,73,2,1,1,9,8,9,26,33,18,35,42,27,39,25,55,5.26,5.25,5.27,2.78,2.67,2.91,83,74,70,56,48,22,22,17,1.35,1.42,1.27,1.42,1.30,1.54,43,2,2,3,1,2,2,5,1,5,3,3,3,2,3,3,2,5,4,13,8,18,52,50,55,13
Fluminense FC,Fluminense,2024,Brazil,24,12,12,1,7,4,3,6,5,1,11,3,8,1.13,1.42,0.83,16,13,14,16,20,26,-6,46,24,22,13,7,11,15,2,-8,108,83,155,83,98,72,7,4,3,9,6,3,9,3,6,13,8,5,102,56,46,78,45,33,55,55,55,234,129,105,123,69,54,111,60,51,298,153,145,12,8,4,7,1,6,5,7,-2,9,7,2,12,5,7,3,0,3,1.63,2.17,1.08,1.92,2,1.83,0.83,1.08,0.58,1.08,0.92,1.25,0.79,0.75,0.83,0.5,0.67,0.33,0.29,0.08,0.5,23,14,7,2,0,0,11,7,4,2,0,0,12,7,3,0,0,0,1,10,17,22,24,24,1,5,8,10,12,12,0,5,9,12,12,12,96,58,29,8,0,0,92,58,33,17,0,0,100,58,25,0,0,0,4,42,71,92,100,100,8,42,67,83,100,100,0,42,75,100,100,100,15,4,0,8,1,0,7,3,0,63,17,0,67,8,0,58,25,0,29,33,25,23,29,33,25,38,50,25,38,25,50,54,67,42,18,11,7,75,92,58,12,4,8,50,33,67,3,1,2,13,8,17,38,58,17,50,42,58,13,0,25,4.25,4.67,3.83,3.25,3.75,2.75,88,67,50,38,33,21,21,21,1.29,1.41,1.18,1.46,1.37,1.55,29,3,0,2,1,6,2,2,1,3,0,0,1,4,4,4,5,3,5,25,42,8,46,25,67,17
São Paulo FC,São Paulo,2024,Brazil,25,13,12,0,12,9,3,5,2,3,8,2,6,1.64,2.23,1,6,3,9,6,33,26,7,59,28,31,19,14,9,17,10,-3,68,62,77,87,130,63,9,6,3,13,6,7,6,2,4,14,9,5,129,74,55,72,37,35,55,56,54,263,149,114,143,78,65,120,71,49,328,161,167,18,11,7,13,3,10,5,8,-3,8,6,2,11,6,5,6,1,5,1.4,1.85,0.92,2.36,2.15,2.58,1.32,1.46,1.17,1.04,0.69,1.42,1.24,1.08,1.42,0.72,0.85,0.58,0.52,0.23,0.83,22,17,14,5,1,0,12,8,6,2,0,0,10,9,8,3,1,0,3,8,11,20,24,25,1,5,7,11,13,13,2,3,4,9,11,12,88,68,56,20,4,0,92,62,46,15,0,0,83,75,67,25,8,0,12,32,44,80,96,100,8,38,54,85,100,100,17,25,33,75,92,100,17,9,4,8,5,1,9,4,3,68,36,16,62,38,8,75,33,25,48,69,25,23,36,46,25,52,46,58,24,15,33,56,69,42,16,11,5,64,85,42,11,5,6,44,38,50,6,2,4,24,15,33,32,46,17,44,46,42,24,8,42,5.16,5.69,4.58,2.88,2.85,2.92,84,72,52,44,28,16,16,12,1.36,1.46,1.26,1.23,1.15,1.32,36,6,4,3,3,3,4,3,3,4,1,3,2,4,5,2,2,2,5,20,15,25,32,15,50,8
SE Palmeiras,Palmeiras,2024,Brazil,25,13,12,0,14,9,5,5,1,4,6,3,3,1.88,2.15,1.58,3,4,2,3,38,19,19,57,32,25,23,15,9,10,14,5,59,51,72,118,130,108,11,6,5,8,4,4,8,4,4,14,9,5,175,103,72,64,34,30,56,57,54,355,206,149,171,92,79,184,114,70,345,189,156,13,9,4,6,3,3,7,6,1,9,5,4,11,6,5,5,2,3,1.52,1.62,1.42,2.28,2.46,2.08,1.52,1.77,1.25,0.76,0.69,0.83,0.76,0.92,0.58,0.52,0.69,0.33,0.24,0.23,0.25,23,19,9,5,1,0,12,11,5,3,1,0,11,8,4,2,0,0,2,6,16,20,24,25,1,2,8,10,12,13,1,4,8,10,12,12,92,76,36,20,4,0,92,85,38,23,8,0,92,67,33,17,0,0,8,24,64,80,96,100,8,15,62,77,92,100,8,33,67,83,100,100,15,2,1,8,2,1,7,0,0,60,8,4,62,15,8,58,0,0,56,69,42,13,44,46,42,32,31,33,32,31,33,56,69,42,19,10,9,76,77,75,15,7,8,60,54,67,1,1,0,4,8,0,36,38,33,44,46,42,20,15,25,7.00,7.92,6.00,2.56,2.62,2.50,92,84,72,64,48,36,28,24,1.74,1.87,1.60,1.23,1.13,1.34,44,2,2,4,2,4,10,3,4,7,3,0,0,1,4,3,5,1,2,20,8,33,24,23,25,20
CA Mineiro,Atlético Mineiro,2024,Brazil,23,12,11,2,8,4,4,9,5,4,6,3,3,1.43,1.42,1.45,9,14,5,9,32,33,-1,65,33,32,16,16,17,16,-1,0,65,68,62,63,63,62,5,2,3,15,8,7,5,2,3,10,7,3,124,58,66,76,41,35,60,61,60,273,138,135,131,62,69,142,76,66,309,161,148,16,11,5,17,9,8,-1,2,-3,6,4,2,9,4,5,8,4,4,1.17,1.33,1,2.83,2.75,2.91,1.39,1.33,1.45,1.43,1.42,1.45,1.43,1.67,1.18,0.7,0.92,0.45,0.74,0.75,0.73,21,21,13,5,3,2,12,12,5,2,1,1,9,9,8,3,2,1,2,2,10,18,20,21,0,0,7,10,11,11,2,2,3,8,9,10,91,91,57,22,13,9,100,100,42,17,8,8,82,82,73,27,18,9,9,9,43,78,87,91,0,0,58,83,92,92,18,18,27,73,82,91,18,11,4,11,7,2,7,4,2,78,48,17,92,58,17,64,36,18,35,33,36,-2,22,17,27,65,67,64,22,17,27,43,58,27,9,4,5,39,33,45,12,5,7,52,42,64,7,4,3,30,33,27,26,33,18,39,33,45,35,33,36,5.39,4.83,6.00,3.3,3.42,3.18,83,70,48,35,35,30,30,17,1.48,1.42,1.55,1.23,1.26,1.20,74,0,4,4,4,4,3,2,4,7,2,4,5,2,4,4,7,2,3,39,42,36,26,25,27,4
CA Paranaense,Atlético PR,2024,Brazil,23,11,12,2,8,4,4,5,2,3,10,5,5,1.26,1.27,1.25,12,17,6,12,26,28,-2,54,28,26,14,12,14,14,0,-2,80,71,90,74,71,77,5,3,2,12,6,6,6,2,4,9,4,5,151,77,74,72,27,45,52,56,49,281,162,119,137,75,62,144,87,57,310,150,160,12,8,4,14,8,6,-2,0,-2,6,3,3,9,5,4,8,3,5,1.17,1.27,1.08,2.35,2.55,2.17,1.13,1.27,1,1.22,1.27,1.17,1.13,1.45,0.83,0.52,0.73,0.33,0.61,0.73,0.5,23,18,9,4,0,0,11,9,5,3,0,0,12,9,4,1,0,0,0,5,14,19,23,23,0,2,6,8,11,11,0,3,8,11,12,12,100,78,39,17,0,0,100,82,45,27,0,0,100,75,33,8,0,0,0,22,61,83,100,100,0,18,55,73,100,100,0,25,67,92,100,100,18,7,1,9,6,1,9,1,0,78,30,4,82,55,9,75,8,0,35,36,33,4,22,27,17,52,55,50,26,18,33,39,36,42,11,5,6,48,45,50,13,5,8,57,45,67,4,3,1,17,27,8,26,27,25,39,45,33,35,27,42,6.57,7.00,6.17,3.13,2.45,3.75,96,91,74,61,56,43,43,30,1.56,1.80,1.35,1.33,1.17,1.49,39,0,1,4,5,4,3,1,5,3,5,5,2,1,2,3,2,1,7,22,18,25,43,45,42,13
