home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,Unnamed: 57
Internacional,Bahia,0.0,0.0,2.0,1.2,2,1,"[72, 83]",[70],6,3,4,0,4,0,17,8,10,5,7,3,23,12,52,48,0.0,0.0,2.13,1.09,0.0,0,0.00,0.0,
Criciúma,Juventude,0.0,0.0,0.5,0.5,1,1,[36],[64],0,4,4,0,6,0,8,12,4,5,4,7,9,13,47,53,0.0,0.0,0.99,1.58,0.0,0,0.00,0.0,
Fluminense,Bragantino,0.0,0.0,1.2,1.25,2,2,"[45, 68]","[47, 52]",13,6,3,0,4,0,22,16,12,9,10,7,8,17,69,31,0.0,0.0,2.75,1.97,0.0,0, ,0.0,
São Paulo,Fortaleza,0.0,0.0,1.4,1.0,1,2,[84],"[66, 8]",11,4,3,0,3,0,12,6,7,3,5,3,10,13,72,28,0.0,0.0,1.75,0.8,0.0,0,0.00,0.0,
Vasco da Gama,Grêmio,0.0,0.0,1.4,0.0,2,1,"[24, 37]",[68],3,5,5,0,0,0,11,8,4,3,7,5,18,9,47,53,0.0,0.0,1.35,1.03,0.0,0,0.00,0.0,over_15_percentage_pre_match
Corinthians,Atlético Mineiro,0.0,0.0,1.2,1.6,0,0,[],[],3,3,8,0,5,1,10,6,3,4,7,2,12,13,49,51,0.0,0.0,1.12,0.85,0.0,0,0.00,0.0,
Atlético PR,Cuiabá,0.0,0.0,2.6,1.2,4,0,"[23, 37, 39, 81]",[],7,0,0,0,3,0,16,3,10,2,6,1,14,9,62,38,0.0,0.0,2.21,0.45,0.0,0,0.00,0.0,
Atlético GO,Flamengo,0.0,0.0,0.2,1.8,1,2,[63],"[45, 90]",4,4,5,2,3,0,10,11,5,3,5,8,10,11,32,68,0.0,0.0,1.21,1.26,0.0,0,0.00,0.0,
Cruzeiro,Botafogo,0.0,0.0,3.0,2.0,3,2,"[20, 65, 90]","[5, 83]",6,3,4,0,3,1,10,7,6,4,4,3,6,9,56,44,0.0,0.0,1.46,0.91,0.0,0,0.00,0.0,
Vitória,Palmeiras,0.0,0.0,1.17,2.6,0,1,[],[20],3,9,3,0,5,0,10,12,6,5,4,7,13,14,57,43,0.0,0.0,1.33,1.42,0.0,0,0.00,0.0,
Bahia,Fluminense,0.0,0.0,3.0,0.0,2,1,"[34, 61]",[4],4,3,4,0,5,0,11,7,6,4,5,3,16,21,40,60,0.0,0.0,1.55,0.99,0.0,0,0.00,0.0,
Grêmio,Atlético PR,0.0,0.0,1.5,1.0,2,0,"[19, 51]",[],9,2,1,0,3,0,12,4,8,0,4,4,7,14,48,52,0.0,0.0,1.64,0.6,0.0,0,0.00,0.0,
Bragantino,Vasco da Gama,0.0,0.0,2.0,0.0,2,1,"[7, 78]",[63],4,6,2,0,0,0,15,12,6,4,9,8,14,15,40,60,0.0,0.0,1.76,1.34,0.0,0,0.00,0.0,
Atlético Mineiro,Criciúma,0.0,0.0,1.25,1.75,1,1,[40],[84],9,2,2,0,4,0,15,6,7,2,8,4,9,9,68,32,0.0,0.0,1.95,0.77,0.0,0,0.00,0.0,
Palmeiras,Internacional,0.0,0.0,1.0,1.5,0,1,[],[45],6,2,2,0,4,0,15,6,4,3,11,3,15,21,68,32,0.0,0.0,1.49,0.79,0.0,0,0.00,0.0,
Fortaleza,Cruzeiro,0.0,0.0,1.8,1.0,1,1,[19],[89],7,5,2,0,2,1,10,13,4,7,6,6,9,8,39,61,0.0,0.0,1.19,1.64,0.0,0,0.00,0.0,
Juventude,Corinthians,0.0,0.0,2.2,0.2,2,0,"[53, 59]",[],6,7,2,1,1,0,13,14,9,3,4,11,16,10,45,55,0.0,0.0,1.65,1.43,0.0,0,0.00,0.0,
Flamengo,São Paulo,0.0,0.0,2.25,1.6,2,1,"[20, 54]",[79],9,1,1,0,3,0,11,7,7,4,4,3,20,19,46,54,0.0,0.0,1.46,0.91,0.0,0,0.00,0.0,
Botafogo,Atlético GO,0.0,0.0,2.0,1.4,1,0,[32],[],8,8,4,0,3,0,11,8,5,4,6,4,13,12,53,47,0.0,0.0,1.4,1.18,0.0,0,0.00,0.0,
Fluminense,Vasco da Gama,1.0,0.0,1.2,0.0,2,1,"[10, 53]",[55],2,7,4,0,4,0,11,15,9,6,2,9,15,17,58,42,2.75,1.34,1.68,1.65,3.5,100,19.00,3.0,
Grêmio,Cuiabá,3.0,0.0,1.5,1.2,1,0,[44],[],3,4,4,0,2,0,8,12,5,4,3,8,10,5,57,43,1.64,0.45,1.38,1.33,3.0,0,9.00,4.0,
Bragantino,Corinthians,3.0,0.0,2.0,0.2,1,0,[5],[],3,4,4,0,2,0,9,13,4,5,5,8,20,12,35,65,1.76,1.43,1.04,1.52,2.5,50,11.00,3.0,
Atlético Mineiro,Cruzeiro,1.0,1.0,1.25,1.0,3,0,"[25, 35, 45]",[],4,4,2,0,2,0,8,5,5,4,3,1,15,17,58,42,1.95,1.64,1.15,0.92,2.0,100,14.00,5.0,
Vitória,Bahia,0.0,0.0,1.17,1.2,2,2,"[20, 57]","[69, 72]",2,7,3,0,3,0,13,14,9,8,4,6,12,13,43,57,1.33,1.09,1.61,1.76,2.0,50,6.00,7.0,
Palmeiras,Flamengo,0.0,3.0,1.0,1.8,0,0,[],[],6,5,4,0,5,0,10,7,2,4,8,3,22,12,48,52,1.49,1.26,0.98,0.95,2.0,50,10.00,5.0,
Atlético PR,Internacional,3.0,3.0,2.6,1.5,1,0,[71],[],5,3,4,1,5,0,5,6,0,2,5,4,15,15,46,54,2.21,0.79,0.42,0.57,2.5,0,9.00,4.0,
Botafogo,Juventude,3.0,1.0,2.0,0.5,5,1,"[4, 9, 53, 61, 80]",[85],5,4,4,0,2,1,12,7,7,2,5,5,21,9,55,45,1.4,1.58,1.52,0.86,1.5,50,12.00,10.0,
Atlético GO,São Paulo,0.0,0.0,0.2,1.6,0,3,[],"[14, 52, 76]",4,3,4,2,0,0,6,12,2,8,4,4,11,9,34,66,1.21,0.91,0.78,1.78,3.0,100,5.00,12.0,
Vasco da Gama,Criciúma,3.0,1.0,1.4,1.75,0,4,[],"[32, 47, 55, 69]",5,4,1,0,0,0,14,16,6,11,8,5,12,6,58,42,1.35,0.77,1.66,2.0,2.5,100,5.00,9.0,
Cuiabá,Atlético Mineiro,0.0,1.0,0.8,1.6,0,3,[],"[28, 61, 78]",3,10,4,0,4,1,4,11,2,6,2,5,10,16,32,68,0.0,0.85,0.52,1.56,0.0,0,3.00,6.0,
Bahia,Grêmio,3.0,0.0,3.0,0.0,1,0,[17],[],4,0,2,0,4,2,10,4,5,3,5,1,10,15,60,40,1.55,1.03,1.36,0.63,3.0,100,9.00,4.0,
Flamengo,Botafogo,3.0,0.0,2.25,2.0,0,2,[],"[53, 90]",8,3,1,0,4,0,12,5,0,4,12,1,11,14,60,40,1.46,0.91,1.26,0.78,4.0,100,12.00,6.0,
Cruzeiro,Vitória,3.0,0.0,3.0,0.5,3,1,"[50, 58, 75]",[52],10,4,2,0,0,0,12,10,7,4,5,6,12,6,54,46,1.46,0.0,1.67,1.11,2.5,50,6.00,4.0,
Corinthians,Fluminense,1.0,0.0,1.2,0.0,3,0,"[40, 45, 47]",[],6,8,4,0,2,0,12,8,8,3,4,5,14,13,31,69,1.12,0.99,1.49,1.08,1.5,50,6.00,13.0,
Fortaleza,Bragantino,1.0,1.0,1.8,1.25,1,1,[9],[40],12,6,1,0,1,0,16,9,6,5,10,4,8,6,44,56,1.19,1.97,1.8,1.2,3.0,100,13.00,6.0,
Juventude,Atlético PR,3.0,0.0,2.2,1.0,1,1,[8],[73],4,6,2,0,2,0,12,12,6,7,6,5,12,15,55,45,1.65,0.6,1.52,1.56,2.0,0,8.00,6.0,
Internacional,Atlético GO,3.0,0.0,2.0,1.4,1,1,[55],[50],13,0,0,0,4,0,15,3,6,3,9,0,13,12,72,28,2.13,1.18,2.04,0.54,2.0,50,14.00,7.0,
São Paulo,Palmeiras,0.0,3.0,1.4,2.6,0,0,[],[],6,4,4,0,3,0,10,7,2,4,8,3,12,17,53,47,1.75,1.42,0.99,0.95,2.0,50,20.00,8.0,
Fluminense,Atlético Mineiro,2.0,2.0,1.2,1.6,2,2,"[4, 61]","[73, 79]",4,11,5,0,2,0,9,14,6,8,3,6,11,18,43,57,2.22,1.21,1.13,1.75,2.5,50,14.00,9.0,
Bragantino,Flamengo,3.0,2.0,2.0,1.8,1,1,[30],[79],8,4,2,0,2,0,9,13,4,7,5,6,17,10,43,57,1.4,1.1,1.32,1.73,1.75,50,8.00,7.0,
Corinthians,Fortaleza,2.0,3.0,1.2,1.0,0,0,[],[],9,5,1,0,6,0,16,7,10,3,6,4,12,20,65,35,1.3,0.8,2.29,1.13,2.25,50,8.50,9.0,
Vitória,São Paulo,0.5,1.5,1.17,1.6,1,3,[49],"[45, 53, 84]",3,8,3,1,4,0,5,17,3,9,2,8,9,14,33,67,1.47,1.35,0.74,1.99,2.75,50,4.50,4.5,
Atlético PR,Vasco da Gama,3.0,0.0,2.6,0.0,1,0,[26],[],6,5,1,0,0,1,21,8,8,2,13,6,11,9,56,44,1.32,1.5,2.35,0.85,2.75,50,12.50,4.5,
Botafogo,Bahia,3.0,0.5,2.0,1.2,1,2,[63],"[45, 86]",5,1,2,0,2,0,17,10,7,5,10,5,8,5,55,45,1.46,1.42,2.01,1.19,3.5,75,11.50,7.5,
Cuiabá,Palmeiras,0.0,2.0,0.8,2.6,0,2,[],"[45, 71]",6,6,2,0,3,0,8,13,2,7,6,6,9,11,45,55,0.52,1.18,0.85,1.73,1.75,0,9.50,8.0,
Flamengo,Corinthians,1.5,0.0,2.25,0.2,2,0,"[20, 63]",[],13,6,1,0,1,0,14,9,10,4,4,5,12,17,58,42,1.36,1.47,2.09,1.12,2.0,25,14.00,2.5,
Palmeiras,Atlético PR,0.5,0.5,1.0,1.0,0,2,[],"[45, 59]",9,6,4,0,5,1,18,9,7,7,11,2,13,16,63,37,1.23,1.08,1.89,1.24,1.25,25,10.00,5.5,
Fortaleza,Botafogo,1.0,1.5,1.8,2.0,1,1,[10],[41],6,5,4,0,7,0,10,11,5,6,5,5,12,22,43,57,1.5,0.85,1.2,1.33,2.75,75,12.50,6.0,
Atlético GO,Cruzeiro,0.0,0.5,0.2,1.0,0,1,[],[81],5,5,1,0,2,0,12,9,6,6,6,3,11,8,46,54,0.99,1.28,1.53,1.27,2.75,50,8.50,10.5,
Bahia,Bragantino,3.0,1.0,3.0,1.25,1,0,[37],[],6,7,2,0,3,0,7,12,4,6,3,6,12,13,50,50,1.45,1.58,1.04,1.46,2.5,75,10.00,5.5,
Vasco da Gama,Vitória,1.5,0.0,1.4,0.5,2,1,"[50, 56]",[89],4,4,5,0,1,1,12,11,9,6,3,5,12,12,57,43,1.51,1.11,1.74,1.52,3.75,75,8.00,3.0,
São Paulo,Fluminense,0.5,0.0,1.4,0.0,2,1,"[32, 84]",[29],7,4,5,0,3,0,13,7,9,3,4,4,15,12,50,50,1.37,1.04,1.82,0.98,2.25,50,14.00,7.0,
Grêmio,Bragantino,3.0,0.67,1.5,1.25,0,2,[],"[3, 6]",6,0,4,0,2,0,6,12,2,5,4,7,16,19,44,56,1.51,1.54,0.91,1.31,1.92,34,12.33,5.17,
Vitória,Atlético GO,0.33,0.5,1.17,1.4,0,2,[],"[42, 69]",3,4,2,2,2,0,8,11,4,6,4,5,7,9,34,66,1.23,0.86,0.98,1.43,2.25,59,6.67,7.17,
Fluminense,Juventude,1.67,0.5,1.2,0.5,1,1,[42],[67],5,3,2,0,4,1,14,9,5,4,9,5,13,19,62,38,1.86,1.22,1.66,1.08,3.84,100,10.33,8.5,
Cuiabá,Internacional,0.0,1.5,0.8,1.5,0,1,[],[69],0,2,4,0,4,0,8,8,4,4,4,4,12,21,36,64,0.68,0.68,0.98,1.13,1.75,0,7.00,7.5,
Corinthians,Botafogo,1.67,1.33,1.2,2.0,0,1,[],[60],2,5,2,0,5,0,15,6,8,3,7,3,7,16,53,47,1.63,1.01,1.88,0.88,2.0,34,9.67,9.66,
Atlético Mineiro,Bahia,2.0,1.33,1.25,1.2,1,1,[62],[70],5,4,6,0,4,0,16,7,5,3,11,4,13,9,64,36,1.55,1.35,1.72,0.88,2.92,75,10.17,5.0,
Vasco da Gama,Flamengo,2.0,1.67,1.4,1.8,1,6,[9],"[28, 33, 43, 51, 73, 89]",1,8,2,1,0,0,3,23,3,19,0,4,18,6,27,73,1.58,1.31,0.55,3.24,2.5,67,8.33,7.0,
Criciúma,Palmeiras,1.0,2.33,0.5,2.6,1,2,[69],"[67, 90]",4,6,7,0,3,0,10,17,5,6,5,11,17,9,39,61,0.99,1.36,1.26,1.94,1.5,50,6.33,7.67,
São Paulo,Cruzeiro,1.33,1.33,1.4,1.0,2,0,"[5, 48]",[],4,2,2,0,2,1,11,9,5,4,6,5,18,11,55,45,1.52,1.28,1.38,1.02,2.0,50,12.67,6.33,
Fortaleza,Atlético PR,1.0,1.33,1.8,1.0,1,0,[45],[],2,4,2,0,4,0,9,11,5,3,4,8,12,17,52,48,1.4,1.14,1.15,1.24,2.0,67,13.00,6.0,
Juventude,Atlético GO,2.0,1.33,2.2,1.4,1,0,[38],[],4,7,2,1,3,0,8,15,3,6,5,9,13,12,42,58,1.58,1.05,0.99,1.71,1.84,42,9.00,5.5,
Cuiabá,Vitória,0.0,0.0,0.8,0.5,0,0,[],[],4,3,3,0,4,0,8,12,0,5,8,7,19,14,54,46,0.78,1.31,0.85,1.45,2.75,50,7.00,4.83,
Criciúma,Cuiabá,0.5,0.0,0.5,1.2,2,5,"[63, 65]","[16, 23, 35, 46, 90]",6,2,5,1,5,0,18,12,9,8,9,4,10,14,61,39,1.13,0.89,2.23,1.61,2.5,50,4.00,8.0,
Atlético GO,Corinthians,0.0,0.0,0.2,0.2,2,2,"[66, 90]","[15, 62]",3,4,3,0,4,1,16,7,8,4,8,3,12,13,72,28,1.17,1.36,2.3,0.87,2.0,17,10.00,7.0,
Juventude,Vitória,2.33,0.33,2.2,0.5,1,1,[34],[42],5,4,3,0,4,0,11,14,3,4,8,10,16,8,58,42,1.39,1.36,1.24,1.4,2.0,50,8.34,5.0,
Botafogo,Fluminense,2.0,0.0,2.0,0.0,1,0,[67],[],14,2,3,0,3,0,16,6,7,0,9,6,22,14,48,52,1.64,1.02,1.72,0.58,3.17,67,11.00,6.66,
Bragantino,Atlético Mineiro,2.33,1.67,2.0,1.6,1,2,[25],"[42, 44]",8,5,5,1,5,1,14,7,7,5,7,2,17,18,55,45,1.37,1.39,1.68,1.05,2.17,50,13.00,7.0,
Cruzeiro,Cuiabá,3.0,1.0,3.0,1.2,2,1,"[45, 67]",[64],6,4,3,0,2,0,12,11,7,6,5,5,9,12,51,49,1.56,1.13,1.73,1.61,4.25,67,10.00,6.33,
Internacional,São Paulo,2.0,2.0,2.0,1.6,0,0,[],[],5,3,5,0,4,0,7,8,0,5,7,3,15,18,49,51,2.08,1.56,0.89,1.0,2.92,84,13.50,4.33,
Flamengo,Grêmio,2.0,0.0,2.25,0.0,2,1,"[42, 67]",[90],4,6,2,0,3,0,15,12,7,6,8,6,9,10,44,56,1.61,0.83,1.77,1.64,2.17,42,12.50,5.0,
Atlético PR,Criciúma,3.0,2.0,2.6,1.75,3,1,"[22, 55, 79]",[8],5,3,0,0,1,0,18,10,8,5,10,5,9,12,66,34,1.66,1.38,2.11,1.12,2.5,25,9.00,4.0,
Bahia,Fortaleza,3.0,2.0,3.0,1.0,1,0,[79],[],5,9,6,0,1,0,10,15,4,7,6,8,14,9,54,46,1.32,0.96,1.46,1.82,1.59,42,9.17,7.17,
Palmeiras,Vasco da Gama,0.33,0.0,1.0,0.0,2,0,"[26, 56]",[],10,6,1,0,2,0,21,9,8,3,13,6,10,14,58,42,1.45,1.28,2.35,1.03,1.67,34,13.00,5.33,
Bragantino,Juventude,1.75,0.67,2.0,0.5,2,1,"[2, 82]",[25],1,1,4,1,4,0,4,12,3,7,1,5,12,13,36,64,1.45,1.17,0.76,1.58,2.79,88,9.42,8.42,
Fluminense,Atlético GO,1.5,1.0,1.2,1.4,1,2,[41],"[71, 90]",3,3,4,1,1,0,10,15,6,8,4,7,10,12,56,44,1.81,1.21,1.35,1.85,2.38,63,10.75,6.5,
Vitória,Internacional,0.25,2.0,1.17,1.5,2,1,"[8, 90]",[82],4,2,1,0,5,0,10,14,5,6,5,8,6,16,45,55,1.16,0.83,1.24,1.67,1.88,25,05.08,8.33,
